epoch,i,mean_dis1
0,49,4.15551233291626
0,99,4.126082897186279
0,149,3.973142385482788
0,199,3.8730950355529785
0,249,3.806445837020874
0,299,3.8700597286224365
0,349,3.7798001766204834
0,399,3.8151776790618896
1,49,3.7919442653656006
1,99,3.750577688217163
1,149,3.8116891384124756
1,199,3.761183261871338
1,249,3.6824703216552734
1,299,3.7648427486419678
1,349,3.7225258350372314
1,399,3.807358980178833
2,49,3.8182873725891113
2,99,3.810497283935547
2,149,3.739215612411499
2,199,3.728658437728882
2,249,3.741126775741577
2,299,3.732628583908081
2,349,3.743487596511841
2,399,3.734912633895874
3,49,3.784217119216919
3,99,3.772350788116455
3,149,3.6985528469085693
3,199,3.7698707580566406
3,249,3.7830650806427
3,299,3.74786114692688
3,349,3.692044496536255
3,399,3.7305779457092285
4,49,3.764024496078491
4,99,3.7112350463867188
4,149,3.658742666244507
4,199,3.705310821533203
4,249,3.701195478439331
4,299,3.6862752437591553
4,349,3.707416534423828
4,399,3.717808246612549
5,49,3.7683980464935303
5,99,3.670551300048828
5,149,3.6767232418060303
5,199,3.68871808052063
5,249,3.6900742053985596
5,299,3.768433094024658
5,349,3.7532622814178467
5,399,3.806976079940796
6,49,3.679198980331421
6,99,3.7893283367156982
6,149,3.7646031379699707
6,199,3.7453269958496094
6,249,3.736740827560425
6,299,3.6759841442108154
6,349,3.6834847927093506
6,399,3.695235013961792
7,49,3.709993362426758
7,99,3.7277817726135254
7,149,3.702906847000122
7,199,3.6689603328704834
7,249,3.756594181060791
7,299,3.686635971069336
7,349,3.716499090194702
7,399,3.735858917236328
8,49,3.708059072494507
8,99,3.711660861968994
8,149,3.74109148979187
8,199,3.713061571121216
8,249,3.6401233673095703
8,299,3.666990280151367
8,349,3.6674702167510986
8,399,3.638814926147461
9,49,3.6627204418182373
9,99,3.6537086963653564
9,149,3.648979902267456
9,199,3.6783905029296875
9,249,3.695742130279541
9,299,3.8079140186309814
9,349,3.769549608230591
9,399,3.666813611984253
