epoch,i,mean_dis1
0,49,4.364125728607178
0,99,4.054738521575928
0,149,3.8847033977508545
0,199,3.912540912628174
0,249,3.865445375442505
0,299,3.791860580444336
0,349,3.8086845874786377
0,399,3.739563465118408
1,49,3.7624893188476562
1,99,3.704123020172119
1,149,3.708484649658203
1,199,3.7489516735076904
1,249,3.7019059658050537
1,299,3.6955406665802
1,349,3.6545703411102295
1,399,3.7196712493896484
2,49,3.7120378017425537
2,99,3.667959690093994
2,149,3.6986629962921143
2,199,3.796104907989502
2,249,3.6850361824035645
2,299,3.6703879833221436
2,349,3.66888689994812
2,399,3.634185791015625
3,49,3.6813275814056396
3,99,3.6497554779052734
3,149,3.6529698371887207
3,199,3.633197784423828
3,249,3.5982284545898438
3,299,3.6091277599334717
3,349,3.6305902004241943
3,399,3.6971871852874756
4,49,3.6048195362091064
4,99,3.669233798980713
4,149,3.6343047618865967
4,199,3.6769421100616455
4,249,3.6571290493011475
4,299,3.6283485889434814
4,349,3.6182422637939453
4,399,3.618898868560791
5,49,3.6175122261047363
5,99,3.623460054397583
5,149,3.6158359050750732
5,199,3.557756185531616
5,249,3.5895538330078125
5,299,3.5736405849456787
5,349,3.5810043811798096
5,399,3.6536662578582764
6,49,3.5945870876312256
6,99,3.5850937366485596
6,149,3.5860214233398438
6,199,3.573127031326294
6,249,3.574615240097046
6,299,3.5974903106689453
6,349,3.5629494190216064
6,399,3.562101125717163
7,49,3.573275089263916
7,99,3.5638065338134766
7,149,3.5756828784942627
7,199,3.572357177734375
7,249,3.577958822250366
7,299,3.5141541957855225
7,349,3.5476646423339844
7,399,3.5492312908172607
8,49,3.5332772731781006
8,99,3.535417318344116
8,149,3.5497512817382812
8,199,3.5848100185394287
8,249,3.5199763774871826
8,299,3.5727291107177734
8,349,3.5218334197998047
8,399,3.579301595687866
9,49,3.512709140777588
9,99,3.6130731105804443
9,149,3.569570302963257
9,199,3.5353119373321533
9,249,3.538372755050659
9,299,3.5542755126953125
9,349,3.5369198322296143
9,399,3.4952163696289062
